activity,window_start_time,window_end_time,samples_in_window,window_duration_s,acc_x_mean,acc_x_std,acc_x_var,acc_y_mean,acc_y_std,acc_y_var,acc_z_mean,acc_z_std,acc_z_var,gyro_x_mean,gyro_x_std,gyro_x_var,gyro_y_mean,gyro_y_std,gyro_y_var,gyro_z_mean,gyro_z_std,gyro_z_var,acc_sma,acc_x_acc_y_corr,acc_x_acc_z_corr,acc_y_acc_z_corr,acc_magnitude_mean,gyro_magnitude_mean,acc_x_dom_freq,acc_x_spectral_energy,acc_y_dom_freq,acc_y_spectral_energy,acc_z_dom_freq,acc_z_spectral_energy,gyro_x_dom_freq,gyro_x_spectral_energy,gyro_y_dom_freq,gyro_y_spectral_energy,gyro_z_dom_freq,gyro_z_spectral_energy
walking,0.06535302734375,5.0051640625,2947,1.0000805664058312,-0.07977847407883092,1.3875424412542137,1.925274026281703,0.11728459901346022,1.6234651238348567,2.635639008308127,-0.09385472613148337,2.361244605004939,5.575476084664931,-0.006528718375018126,0.6721521945531166,0.45178857264257066,-0.08554287414260216,0.5939068281557506,0.35272532053002426,-0.17080177123987655,0.9165654103400411,0.8400921514318079,4.188479824846633,-0.2717435958060903,-0.03463142260350247,0.16948274048650114,2.846336422437292,1.0949387771292534,240.9805850603866,2835.928640712948,1222.9014752234557,3882.2962592378703,1236.9003473846399,8212.676272711442,17.99854992152265,665.4845675025066,981.920890163069,519.5643971407256,240.9805850603866,1237.4557390590528
walking,1.30219189453125,6.248099365234375,2947,1.0000805664058312,-0.14435502846725404,1.4434558418492878,2.083564767368836,0.15802886295190474,1.586855699599354,2.5181110113509546,-0.15129939731035263,2.4024959699794515,5.771986885767505,0.007042531111859282,0.6683539356501612,0.44669698329905977,-0.09689641071336226,0.6051758167942961,0.3662377692326434,-0.2261002736923313,0.9384072490970847,0.8806081651579579,4.244368378700043,-0.253127751184031,-0.038935639615380636,0.1602052492070954,2.891046424867499,1.122148637110566,240.9805850603866,3069.090902334296,1222.9014752234557,3709.177519719956,1236.9003473846399,8502.136682735534,999.9194400845917,657.9846563995152,740.9403051026824,539.4682340796837,240.9805850603866,1297.1358272776722
standing,0.07616943359375,4.63279638671875,2947,1.0000805664058312,0.06027858916008681,0.24550760420409548,0.060273983722034796,0.0009367620794974148,0.16961201491822941,0.028768235604621675,-0.02071447594757601,0.4275367273893888,0.18278765326682858,0.004330031858001405,0.09296863825652442,0.008643167699272496,0.00048566781632882605,0.1201834294055104,0.0144440567036693,0.004512678749886512,0.09773341484740797,0.009551820377735543,0.6554619858405434,0.17417395226546026,-0.031048640600667744,0.15172548800614827,0.45629763910749727,0.15320208802856194,684.9448164579453,88.78357802255726,684.9448164579453,42.37561104560773,211.98292129793344,269.24621326203857,1118.909853454658,12.731386021028387,211.98292129793344,21.276095524504875,1357.8905996348756,14.06983141640446
standing,1.215043701171875,5.772725830078125,2947,1.0000805664058312,0.06869302939163413,0.2416886224634021,0.0584133902282569,0.001083842226438173,0.1639631939504355,0.02688392897042812,-0.02194983846585569,0.42089059215677116,0.1771488905660775,-0.0022503863989148704,0.08909989133792663,0.007938790636430333,0.0003764609732606007,0.11308370416829487,0.01278792414842243,0.000324096157175084,0.09267716987077239,0.008589057815256002,0.6404687245735453,0.13114033251951826,-0.11670188834551422,0.18509230428473775,0.4467973867211841,0.1454950119807734,448.96382859798166,86.04292380622243,1373.889310676229,39.600027373440625,920.925804317909,260.9403158038321,211.98292129793344,11.69383860746188,920.925804317909,18.83661227062624,221.98211569877935,12.65168216187209
standing,2.35636083984375,6.93849755859375,2947,1.0000805664058312,0.06839345121255488,0.23909723845290548,0.057167489435805546,0.0020997886751015246,0.16086253435597353,0.025876754959426762,-0.02363732539312007,0.41632168507298956,0.17332374546201348,-0.004615991309871663,0.09301214698249645,0.008651259486293522,0.002314495934981851,0.1074322750623874,0.011541693725080465,0.0024248989873945255,0.08887498906403887,0.007898763681133028,0.6291370259280694,0.12100921992320614,-0.10218031106959805,0.23114608167179343,0.43980495760188004,0.14120897962387094,448.96382859798166,84.20771193894156,211.98292129793344,38.11646005523562,211.98292129793344,255.3058770655459,223.98195457894855,12.743305223310358,448.96382859798166,17.000914857043526,450.96366747815085,11.634878902308948
being_still,0.20537109375,4.626073486328125,2947,1.0000805664058312,0.06069387226012508,0.20491119211476586,0.04198859665389448,0.044970939512935605,0.09717221228039821,0.009442438839466773,-0.021648328426452992,0.18240339299880837,0.03327099777747773,0.00011058266175952274,0.060553783824510155,0.0036667607354655078,-0.0008293696854805228,0.0441672583396147,0.0019507467092382644,0.0034099766066887833,0.039536228904713026,0.0015631133960058658,0.3251083538436792,0.3292490683979698,-0.11714834975162905,-0.179058046356288,0.2206951835797432,0.050729086651271904,453.9634257984046,61.849202871186584,453.9634257984046,13.90871241053456,1358.8905190749601,49.008179726224704,0.9999194400845917,5.401138563340694,3.9996777603383666,2.8734499027079634,918.9259654377397,2.3024660323166404
being_still,1.324726806640625,5.723507080078125,2947,1.0000805664058312,0.06002060464015442,0.20222020644123637,0.04089301189313626,0.04290487153836738,0.09604936862618052,0.00922548121348791,-0.01610546747951294,0.16656116503369475,0.0277426216973817,-0.0034353162456619226,0.053633352564301136,0.002876536507286627,0.0007833023001744816,0.039114865697881494,0.0015299727185633064,0.002520340896082936,0.03596020937509823,0.0012931366583009028,0.3060476180832184,0.3470330700628395,-0.08462594263919272,-0.13359718476988108,0.2074673811224774,0.04226783672485493,453.9634257984046,60.235406518589706,453.9634257984046,13.589133827467691,453.9634257984046,40.864881760243236,0.9999194400845917,4.237138275233201,679.9452192575224,2.2536498144437505,233.98114897979445,1.9047902976772297
being_still,2.4282490234375,6.82081103515625,2947,1.0000805664058312,0.052658497389692915,0.1856948621545931,0.03448258183061333,0.037577667902152646,0.09436017803906646,0.00890384319956432,-0.013897244712640604,0.17006134540153692,0.028920861199780844,-6.736523775471745e-05,0.035013249174817865,0.0012259276177778839,-0.0005296462164208324,0.038303229070271935,0.0014671373572097252,0.0019944256416423627,0.03782301813818501,0.0014305807010814723,0.2941817195967855,0.3162255284005745,-0.07709437890230843,-0.042081334878454314,0.19993174119846374,0.0386097362632846,453.9634257984046,50.79284303649344,453.9634257984046,13.115361032958248,453.9634257984046,42.60042854727719,894.9278988757095,1.8057913809868231,915.926207117486,2.1610933271699255,222.98203513886395,2.1072453726930083
being_still,3.525589599609375,7.922537353515625,2947,1.0000805664058312,0.050105426004165954,0.20564729720079628,0.04229081084599263,0.03256723322138609,0.08942609410164733,0.007997026306276682,-0.010411482242393948,0.17702426568727267,0.03133759064211811,-0.0005004719007925565,0.036432733852474565,0.0013273440959652462,0.0006765024678454212,0.03750224584679711,0.0014064184435536107,0.0017377122338397583,0.04147607523503728,0.0017202648169024727,0.29786503997330827,0.5718119530155322,-0.21261704120405103,-0.11836184967746056,0.20357496771284608,0.040408485115876795,453.9634257984046,62.29436437614716,453.9634257984046,11.779619749145551,453.9634257984046,46.16027101583997,894.9278988757095,1.9551778533568074,1375.889149556398,2.0716543673544687,1129.9089672955886,2.533950075297342
being_still,4.628331787109375,9.055158203125,2947,1.0000805664058312,0.045640799267173904,0.2040455359785986,0.041634580752793575,0.027542920164387218,0.08545910417649145,0.0073032584866484195,-0.007294401946130918,0.182291610469516,0.033230231247569755,-0.0014666449049080654,0.040092480751146846,0.0016074070127810806,0.0025416904722896892,0.03970741641122465,0.0015766789180543922,0.0007083195521270881,0.043217374215355354,0.0018677414340700616,0.2935071485499466,0.5432858767498756,-0.232882744941175,-0.14383365343115556,0.20200958696690552,0.0431817573181014,453.9634257984046,61.32773744886494,453.9634257984046,10.757699750833122,20.998308241776424,48.94813062767025,1135.9084839360962,2.367710529826532,893.9279794356249,2.3224480462941197,449.9637480380662,2.7511831323852003
being_still,5.728506103515625,10.824888916015626,2947,1.0000805664058312,0.042380512036284554,0.2048857308040874,0.04197816268712497,0.02267738544702286,0.08749617320225948,0.0076555803250397915,-0.002606757098956156,0.19246398858028388,0.03704238690023164,-0.002589157045527172,0.04649546230507194,0.0021618280149623657,0.0029327715870702733,0.04166552384427214,0.0017360158772176104,-0.0007734047966531432,0.04570504934453854,0.002088951535586703,0.2998262256621545,0.40843794215375795,-0.2336077045854944,-0.1972670837772732,0.2077083948179192,0.04739025040018535,453.9634257984046,61.833833638135076,453.9634257984046,11.276669818783615,453.9634257984046,54.563435904041214,2.999758320253775,3.1843726660395646,1375.889149556398,2.5571513871415403,449.9637480380662,3.0770256119192134
jumping,0.224601318359375,4.991386962890625,2947,1.0000805664058312,0.7034192941324424,4.409976822330375,19.44789557349111,-0.6822418722007734,4.308454127337492,18.562776967371466,0.15221930545267107,11.627631380156602,135.20181151280252,0.0017879253822894881,1.1810634308391454,1.3949108276655329,-0.11657627066589442,1.3021563421836246,1.6956111394890372,-0.03180577146981422,0.8389832534934415,0.7038928996424404,15.076259057923348,0.2874241884230107,0.5638113998107072,0.6588201694519216,10.575469408626818,1.6482566573490314,478.9614118005194,28646.7501797524,256.97929610174003,27342.970472938166,256.97929610174003,199152.2683583581,1460.8823019635884,2054.7036491513295,1214.902119702779,2497.6352084673517,982.9208096031537,1036.8342411733147
