time,seconds_elapsed,z,y,x
1761299283690574300,0.05657421875,-0.9013214111328125,-0.5079803466796875,0.109039306640625
1761299283710697500,0.076697509765625,-0.8827056884765625,-0.4903106689453125,0.0566864013671875
1761299283730820400,0.0968203125,-0.845733642578125,-0.4885711669921875,0.0631103515625
1761299283750944300,0.1169443359375,-0.80865478515625,-0.4923095703125,0.078033447265625
1761299283771067400,0.1370673828125,-0.818817138671875,-0.509765625,0.053192138671875
1761299283791190300,0.157190185546875,-0.8163604736328125,-0.5129547119140625,-0.0023193359375
1761299283811314400,0.177314453125,-0.7969970703125,-0.5047607421875,-0.008453369140625
1761299283831437300,0.197437255859375,-0.8022613525390625,-0.5024871826171875,0.0222625732421875
1761299283851560400,0.217560546875,-0.84002685546875,-0.480865478515625,0.060546875
1761299283871684400,0.237684326171875,-0.86773681640625,-0.46728515625,0.055694580078125
1761299283891807200,0.25780712890625,-0.8547515869140625,-0.474395751953125,0.0265960693359375
1761299283911930400,0.277930419921875,-0.7772979736328125,-0.4866790771484375,0.0335693359375
1761299283932054500,0.298054443359375,-0.7483367919921875,-0.520294189453125,0.063262939453125
1761299283952177400,0.318177490234375,-0.799530029296875,-0.538055419921875,0.06390380859375
1761299283972300500,0.338300537109375,-0.8761138916015625,-0.541412353515625,0.0274810791015625
1761299283992424400,0.358424560546875,-0.910064697265625,-0.5453033447265625,0.00274658203125
1761299284012547600,0.378547607421875,-0.9002227783203125,-0.5359039306640625,0.013458251953125
1761299284032670500,0.39867041015625,-0.85845947265625,-0.5384063720703125,0.03271484375
1761299284052794400,0.41879443359375,-0.8660736083984375,-0.5559539794921875,0.038970947265625
1761299284072917500,0.43891748046875,-0.937896728515625,-0.5465545654296875,0.02435302734375
1761299284093040400,0.459040283203125,-1.0126190185546875,-0.5269317626953125,-0.01263427734375
1761299284113164500,0.47916455078125,-1.0481414794921875,-0.5174102783203125,-0.0731201171875
1761299284133287400,0.499287353515625,-1.0187835693359375,-0.5290679931640625,-0.132171630859375
1761299284153410600,0.51941064453125,-0.9253387451171875,-0.528839111328125,-0.147918701171875
1761299284173534500,0.539534423828125,-0.84906005859375,-0.531097412109375,-0.101348876953125
1761299284193657000,0.559656982421875,-0.8222808837890625,-0.5256805419921875,-0.04461669921875
1761299284213780200,0.5797802734375,-0.84625244140625,-0.52764892578125,-0.0331268310546875
1761299284233904000,0.599904052734375,-0.831085205078125,-0.52435302734375,-0.0590057373046875
1761299284254027000,0.620027099609375,-0.77484130859375,-0.520263671875,-0.0608673095703125
1761299284274150100,0.640150146484375,-0.7540130615234375,-0.5198822021484375,-0.001739501953125
1761299284294274000,0.660274169921875,-0.779327392578125,-0.52850341796875,0.019439697265625
1761299284314397200,0.680397216796875,-0.8021087646484375,-0.526702880859375,-0.0125885009765625
1761299284334520000,0.70052001953125,-0.81793212890625,-0.5387725830078125,-0.0295562744140625
